"date","infections_mean","infections_sd","inf_lo01","inf_hi99","inf_lo05","inf_hi95","inf_lo10","inf_hi90","R_mean","R_sd","R_lo01","R_hi99","R_lo05","R_hi95","R_lo10","R_hi90","crossing_prob","end_first_ix","end_first_date","start_second_ix","start_second_date","country","confirm","first_low_ix","second_max_ix","first_low_date","second_max_date"
2020-03-19,734.34715105797,74.8449021757632,580.29117449009,931.523922109437,620.287271416565,864.487852498302,642.90291708729,831.540120764235,1.10577815188699,0.0538201709512669,0.975090776715775,1.23230437270048,1.01717502437503,1.19244495002069,1.03685181680144,1.17310983024481,0.9715,40,2020-04-04,109,2020-06-12,"Austria",550,40,116,2020-04-04,2020-06-19
2020-03-20,709.127297045018,72.0611750654388,563.668649020981,901.141785611945,599.047725289838,836.473041803448,620.611419116922,802.539158742443,1.03404724738568,0.0518265118105077,0.906244880372948,1.153726371968,0.947264355008825,1.11667794976316,0.96745456403066,1.09791902414684,0.7574,40,2020-04-04,109,2020-06-12,"Austria",453,40,116,2020-04-04,2020-06-19
2020-03-21,673.90422095943,68.5162032978848,535.974169305296,856.242354035822,568.587944374224,794.794707696064,590.014269517256,762.941671796663,0.969361868734688,0.0498919938482774,0.845275066122638,1.08285663111203,0.885271183912318,1.0479341723986,0.905516925456389,1.03132709853456,0.2699,40,2020-04-04,109,2020-06-12,"Austria",375,40,116,2020-04-04,2020-06-19
2020-03-22,631.584104296454,64.4098328913098,499.203902232954,801.928935120919,532.636885027062,744.669854500613,552.600616781327,715.187347687206,0.911667768108574,0.0479186069649282,0.789234303504514,1.01932594147857,0.829770755116666,0.987092474130631,0.850231875358966,0.971115821194013,0.0265,40,2020-04-04,109,2020-06-12,"Austria",607,40,116,2020-04-04,2020-06-19
2020-03-23,584.942932207826,59.9052825741502,460.241287386332,743.19080705657,492.768942540792,689.110359543065,510.073293533085,663.181284056104,0.86074567500601,0.0458943327238572,0.745174524830031,0.962127430511797,0.782963642884823,0.933139808024326,0.8015309886136,0.917906086747537,0.0016,40,2020-04-04,109,2020-06-12,"Austria",855,40,116,2020-04-04,2020-06-19
2020-03-24,536.404725885998,55.1564328311114,420.899936841069,681.98281692122,451.206113197239,632.643068743236,467.681914486275,608.172032623545,0.816257061707708,0.0438760320695766,0.706682804365947,0.913198106064801,0.743193560510087,0.885438395129373,0.759721031764697,0.870783430105282,0,40,2020-04-04,109,2020-06-12,"Austria",796,40,116,2020-04-04,2020-06-19
2020-03-25,487.927221676806,50.3185272506971,382.899036604176,619.906592811628,410.005077574528,576.111663445948,425.715537404694,553.045604006259,0.777785184191929,0.0419602694859673,0.673893084902888,0.870952970888968,0.70794031174801,0.84510954648803,0.724037053450837,0.830205722610106,0,40,2020-04-04,109,2020-06-12,"Austria",606,40,116,2020-04-04,2020-06-19
2020-03-26,440.976121297879,45.5412988316447,345.101091373777,560.707329820953,370.437188066496,521.144478357685,384.890025154238,500.501921962888,0.74486976957127,0.0402486566356139,0.646934679120565,0.835768691600031,0.677727027377966,0.809766228088589,0.693617660549639,0.795882861946363,0,40,2020-04-04,109,2020-06-12,"Austria",1141,40,116,2020-04-04,2020-06-19
2020-03-27,396.560504518517,40.9537620282319,311.160986050837,504.142389120202,332.978067976052,468.096566160148,346.274607891317,449.258547520216,0.717035216364129,0.038815374010655,0.62433990319466,0.808520274911732,0.653170876534919,0.779111597564252,0.667332685363763,0.765875765449597,0,40,2020-04-04,109,2020-06-12,"Austria",668,40,116,2020-04-04,2020-06-19
2020-03-28,355.30252264955,36.6510394382433,279.504122576155,451.86181707217,298.644894917533,419.34722584756,310.129894988559,402.624402025627,0.693813002182051,0.0376868349487076,0.604241189107872,0.783358228742094,0.631854417442301,0.754481001993822,0.646111253792953,0.741246556787967,0,40,2020-04-04,109,2020-06-12,"Austria",594,40,116,2020-04-04,2020-06-19
2020-03-29,317.51972873322,32.689783548074,250.649592506178,403.364039777189,267.239268635565,374.448659814016,276.981380709919,360.176022622514,0.674759148574623,0.0368417909689937,0.589093090073755,0.762878013277534,0.61417548950067,0.734198412746559,0.627531453641105,0.720925963571539,0,40,2020-04-04,109,2020-06-12,"Austria",522,40,116,2020-04-04,2020-06-19
2020-03-30,283.305318225711,29.0933681853602,223.43272933171,359.619013595773,238.672247851814,333.707694787366,247.268729639616,321.770395872412,0.659467276031904,0.0362311605744827,0.574969310541779,0.746461772529947,0.599882987142974,0.717781307274775,0.61328736902442,0.704832013542972,0,40,2020-04-04,109,2020-06-12,"Austria",805,40,116,2020-04-04,2020-06-19
2020-03-31,252.597681456048,25.8631470055488,199.794569513171,320.958913046214,212.985254207916,297.475069574071,220.446648535745,286.741605755572,0.647577331373981,0.0358055632113868,0.563607494465127,0.735126940228242,0.588998232348277,0.705825925351217,0.601750078556141,0.692573008591391,0,40,2020-04-04,109,2020-06-12,"Austria",564,40,116,2020-04-04,2020-06-19
2020-04-01,225.235682073419,22.9896629496163,178.764415516164,285.405313128328,189.964319378818,265.527188079961,196.641803431769,255.62796924215,0.638779825187356,0.0355347019575287,0.556552761946169,0.724562679914102,0.580752807786421,0.697342187894345,0.593645188206657,0.683885429556917,0,40,2020-04-04,109,2020-06-12,"Austria",529,40,116,2020-04-04,2020-06-19
2020-04-02,200.999531070805,20.4589489722385,159.722451671501,253.764364292702,169.502888199155,237.278664505508,175.638803736786,227.923772614422,0.63281555953552,0.0354096002486768,0.551818102916697,0.721366238528168,0.575617976018597,0.691520443351344,0.588168087784429,0.677673951477977,0,40,2020-04-04,109,2020-06-12,"Austria",418,40,116,2020-04-04,2020-06-19
2020-04-03,179.639225732446,18.2530314604535,142.16947629352,226.023727883814,151.579168905341,212.045660806234,156.824319206303,203.825196120562,0.62947128594015,0.0354302349793463,0.549414959234642,0.717883335054501,0.572555790835449,0.687692183396203,0.585086784436222,0.674819771359184,0,40,2020-04-04,109,2020-06-12,"Austria",396,40,116,2020-04-04,2020-06-19
