"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"United Kingdom",5,2,2,5,1,0.082,-0.082,-0.034,0.053,-0.179,0.105,0.036,-0.023,0.19,0.15,0.376,0.814,0.554,0.368,0.784,0.044,0.354,0.592,0.096,0.226,0.75,0.334,0.876,0.822,0.364,0.088,0.706,0.832,0.188,0.508,TRUE,TRUE
"Austria",6,2,2,2,0,-0.504,-0.047,0.122,-0.207,-0.37,-0.636,-0.203,0.124,-0.033,0.094,0.996,0.786,0.236,0.864,0.997,1,0.99,0.064,0.604,0.248,0.006,0.414,0.504,0.278,0.003,0,0.016,0.138,0.808,0.554,TRUE,TRUE
"Belgium",6,2,4,5,1,-0.545,0.05,0.175,-0.057,-0.203,-0.361,-0.459,-0.222,0.159,0.013,0.988,0.192,0.232,0.578,0.873,1,1,0.998,0.152,0.472,0.022,0.496,0.528,0.836,0.21,0,0,0.008,0.302,0.948,TRUE,TRUE
"Bulgaria",6,2,1,1,1,-0.105,-0.137,-0.379,-0.589,-0.017,-0.613,0.556,0.637,0.4,-0.295,0.618,0.77,0.804,0.962,0.542,1,0,0,0.032,0.816,0.838,0.478,0.36,0.082,0.974,0,0,0,0.09,0.368,TRUE,TRUE
"Croatia",6,2,1,1,0,-0.606,0.167,0.597,0.058,NA,-0.296,-0.175,-0.132,0.237,0.146,0.96,0.14,0.03,0.428,NA,0.996,0.902,0.834,0.16,0.306,0.076,0.326,0.078,0.89,NA,0.006,0.232,0.382,0.336,0.638,TRUE,TRUE
"Cyprus",6,2,2,2,1,-0.299,0.118,0.284,0.03,0.06,-0.446,-0.115,0.131,0.126,-0.162,0.97,0.002,0.044,0.418,0.246,0.996,0.862,0.1,0.104,0.846,0.09,0.002,0.13,0.864,0.571,0.006,0.284,0.198,0.28,0.256,TRUE,TRUE
"Czechia",6,2,2,2,1,-0.403,-0.06,-0.213,-0.244,-0.277,-0.141,-0.35,-0.237,0.242,-0.202,0.966,0.76,0.814,0.85,0.93,0.98,1,1,0.074,0.864,0.064,0.364,0.35,0.304,0.11,0.032,0,0.002,0.142,0.282,TRUE,TRUE
"Denmark",6,2,1,1,1,-0.833,-0.056,0.889,0.833,0.236,-0.592,-0.389,-0.111,0.111,0.333,0.968,0.536,0.034,0.038,0.372,0.996,0.964,0.676,0.414,0.222,0.164,0.952,0.108,0.094,0.767,0.006,0.136,0.764,0.848,0.584,TRUE,TRUE
"Estonia",6,2,1,1,1,0.145,0.095,-0.149,-0.033,0.096,-0.08,0.068,0.019,0.372,0.276,0.32,0.136,0.684,0.55,0.316,0.862,0.25,0.418,0.022,0.096,0.61,0.32,0.622,0.882,0.641,0.298,0.494,0.858,0.048,0.248,TRUE,TRUE
"Finland",6,2,2,1,1,-0.195,0.114,0.352,0.37,0.273,-0.328,-0.056,0.155,-0.082,0.233,0.754,0.102,0.084,0.052,0.027,1,0.728,0.042,0.736,0.08,0.48,0.186,0.158,0.094,0.102,0,0.544,0.078,0.566,0.222,TRUE,TRUE
"France",6,2,5,5,1,0.157,0.177,-0.205,-0.215,-0.155,-0.039,0.205,0.217,0.26,0.117,0.188,0,0.896,0.88,0.95,0.93,0,0,0.006,0.18,0.386,0,0.2,0.232,0.092,0.13,0,0,0.01,0.402,TRUE,TRUE
"Germany",6,2,5,2,1,-0.545,-0.056,-0.343,-0.397,-0.52,-0.692,-0.191,0.201,0.29,-0.349,0.988,0.758,0.92,0.938,0.989,1,0.982,0.008,0.04,0.948,0.018,0.438,0.172,0.118,0.024,0,0.034,0.028,0.1,0.106,TRUE,TRUE
"Greece",6,2,2,1,1,-0.415,-0.034,0.314,0.074,0.038,-0.468,-0.204,0.074,0.006,-0.051,0.958,0.602,0.106,0.378,0.352,1,0.994,0.198,0.508,0.576,0.09,0.744,0.232,0.798,0.809,0,0.01,0.384,0.974,0.82,TRUE,TRUE
"Hungary",6,2,3,1,1,-0.221,0.264,-0.106,-0.274,-0.195,-0.14,-0.389,-0.296,0.094,-0.484,0.734,0.018,0.572,0.764,0.82,0.978,1,0.996,0.308,0.978,0.558,0.024,0.76,0.414,0.34,0.042,0,0.012,0.686,0.03,TRUE,TRUE
