"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Cyprus",5,10,1,2,1,-0.41,0.17,-0.244,-0.184,-0.199,-0.635,-0.157,0.462,0.413,-0.047,0.996,0,0.918,0.846,0.858,0.99,0.836,0.002,0,0.586,0.01,0,0.138,0.28,0.28,0.014,0.342,0.006,0,0.762,TRUE,TRUE
"Czechia",5,10,1,5,0,-0.539,-0.096,-0.414,-0.294,-0.293,-0.37,-0.446,-0.327,0.329,0.002,0.996,0.916,0.988,0.948,0.944,0.828,0.988,0.954,0.028,0.514,0.004,0.11,0.05,0.136,0.148,0.314,0.018,0.094,0.078,0.99,TRUE,TRUE
"Denmark",5,10,1,1,1,0.244,-0.378,0.733,0.689,0.597,-1,0.556,0.689,-0.867,0.378,0.51,0.898,0.042,0.072,0.1,1,0.082,0.03,0.98,0.132,0.738,0.188,0.122,0.178,0.274,0.004,0.16,0.08,0.062,0.464,TRUE,TRUE
"Estonia",5,10,1,1,0,-0.151,-0.053,-0.246,-0.282,-0.331,-0.273,0.004,0.152,0.324,-0.024,0.818,0.548,0.866,0.876,0.922,0.74,0.494,0.256,0.064,0.524,0.568,0.596,0.36,0.26,0.178,0.536,0.984,0.494,0.128,0.912,TRUE,TRUE
"Finland",5,10,2,5,1,-0.147,-0.05,0.218,0.311,0.306,-0.569,0.273,0.551,0.136,0.08,0.826,0.646,0.234,0.12,0.134,0.964,0.108,0.004,0.192,0.326,0.488,0.464,0.342,0.176,0.202,0.092,0.186,0.012,0.418,0.696,TRUE,TRUE
"France",5,10,2,5,0,0.012,0.017,-0.445,-0.417,-0.389,-0.235,0.173,0.321,0.267,0.052,0.526,0.156,0.998,1,0.992,0.872,0.09,0.006,0,0.324,0.946,0.638,0.002,0,0.008,0.27,0.168,0.01,0,0.698,TRUE,TRUE
"Germany",5,10,4,5,0,-0.649,-0.041,-0.571,-0.363,-0.365,-0.927,-0.434,0.057,0.149,-0.028,1,0.492,1,0.962,0.96,1,0.988,0.384,0.248,0.532,0.002,0.666,0.008,0.09,0.098,0,0.042,0.78,0.5,0.888,TRUE,TRUE
"Greece",5,10,3,1,0,-0.517,-0.138,-0.141,-0.094,-0.13,-0.789,-0.336,0.007,0.198,-0.14,0.998,0.992,0.746,0.678,0.726,1,0.994,0.502,0.07,0.776,0.018,0.01,0.58,0.72,0.61,0,0.012,0.958,0.148,0.43,TRUE,TRUE
"Hungary",5,10,2,2,1,-0.492,0.002,-0.243,-0.277,-0.171,-0.614,-0.458,-0.295,0.226,-0.389,0.96,0.36,0.764,0.826,0.674,0.958,0.976,0.906,0.142,0.944,0.104,1,0.402,0.33,0.564,0.082,0.04,0.19,0.328,0.112,TRUE,TRUE
"Ireland",5,10,2,2,1,-0.239,0.004,-0.053,-0.152,-0.18,-0.236,-0.193,-0.023,0.232,0.018,0.91,0.314,0.576,0.74,0.752,0.788,0.862,0.58,0.04,0.412,0.27,0.968,0.836,0.518,0.47,0.426,0.272,0.89,0.116,0.922,TRUE,TRUE
"Italy",5,10,5,4,0,-0.199,0.031,0.111,0.105,0.08,-0.299,-0.107,-0.026,0.492,-0.231,0.844,0.1,0.268,0.254,0.314,0.726,0.702,0.572,0,0.94,0.32,0.42,0.56,0.526,0.646,0.558,0.616,0.9,0,0.102,TRUE,TRUE
"Latvia",5,10,2,1,1,-0.076,-0.108,0.457,0.379,0.388,-0.756,0.172,0.467,0.011,-0.044,0.622,0.786,0.038,0.064,0.06,1,0.15,0.002,0.464,0.5,0.824,0.306,0.108,0.188,0.188,0,0.292,0.004,0.964,0.85,TRUE,TRUE
"Lithuania",5,10,1,1,1,-0.603,0.048,-0.316,-0.247,-0.263,-0.796,-0.03,0.593,0.359,0.307,0.99,0.238,0.834,0.754,0.762,0.98,0.572,0.014,0.112,0.124,0.054,0.776,0.364,0.512,0.48,0.052,0.932,0.016,0.232,0.3,TRUE,TRUE
"Luxembourg",5,10,5,5,1,-0.72,0.104,-0.31,-0.173,-0.186,-0.832,-0.561,0.092,0.295,0.168,1,0.002,0.93,0.764,0.772,1,1,0.286,0.006,0.126,0,0.022,0.126,0.438,0.42,0,0,0.55,0.012,0.278,TRUE,TRUE
"Malta",5,10,2,1,1,-0.607,-0.244,-0.24,-0.232,-0.239,-0.627,-0.35,0.018,-0.284,-0.212,0.984,0.96,0.722,0.698,0.7,0.974,0.962,0.428,0.886,0.73,0.04,0.046,0.506,0.508,0.508,0.042,0.068,0.908,0.242,0.434,TRUE,TRUE
"Netherlands",5,10,1,1,1,-0.406,-0.188,-0.457,-0.478,-0.478,-0.978,-0.319,-0.072,-0.464,0.478,0.95,0.858,0.964,0.962,0.964,1,0.894,0.604,0.962,0.014,0.252,0.196,0.172,0.118,0.116,0,0.232,0.812,0.104,0.064,TRUE,TRUE
"Poland",5,10,1,1,1,-0.488,0.032,-0.415,-0.226,-0.229,-0.462,-0.402,-0.269,0.303,0.437,0.982,0.206,0.972,0.842,0.844,0.836,0.964,0.892,0.094,0.008,0.096,0.78,0.11,0.402,0.39,0.334,0.082,0.238,0.178,0.044,TRUE,TRUE
"Portugal",5,10,2,2,1,-0.451,0.006,-0.032,0.425,0.431,-0.711,-0.273,-0.162,-0.035,-0.178,0.976,0.276,0.58,0.062,0.058,0.986,0.916,0.77,0.516,0.768,0.1,0.96,0.926,0.132,0.128,0.028,0.194,0.46,0.918,0.412,TRUE,TRUE
"Romania",5,10,2,2,0,-0.133,0.087,-0.007,0.033,0.03,-0.853,0.053,0.213,0.433,0.053,0.732,0.124,0.538,0.456,0.468,0.994,0.426,0.196,0.06,0.4,0.732,0.514,0.984,0.912,0.918,0.008,0.838,0.404,0.098,0.846,TRUE,TRUE
"Slovakia",5,10,1,2,1,-0.774,0.192,-0.478,-0.484,-0.542,-0.832,-0.573,0.196,0.309,-0.052,1,0,0.988,0.986,0.994,1,1,0.15,0.032,0.566,0,0.002,0.046,0.03,0.012,0.002,0,0.318,0.076,0.764,TRUE,TRUE
"Slovenia",5,10,1,4,0,-0.286,0.077,-0.576,-0.478,-0.467,-0.304,-0.125,0.195,0.411,0.151,0.946,0.06,1,0.992,0.988,0.772,0.736,0.138,0.004,0.188,0.256,0.326,0.004,0.028,0.044,0.432,0.51,0.306,0.012,0.424,TRUE,TRUE
"Sweden",5,10,1,4,0,-0.507,-0.067,-0.54,-0.173,-0.17,-0.912,-0.313,-0.02,-0.14,0.08,0.964,0.482,0.982,0.718,0.714,1,0.886,0.512,0.678,0.302,0.176,0.692,0.132,0.682,0.692,0.002,0.192,0.948,0.626,0.782,TRUE,TRUE
"United Kingdom",5,10,5,2,1,0.123,0.128,-0.112,-0.188,-0.188,-0.173,0.155,0.147,0.614,-0.493,0.366,0.018,0.596,0.702,0.69,0.624,0.268,0.258,0,0.994,0.708,0.092,0.738,0.5,0.508,0.772,0.566,0.546,0,0.014,TRUE,TRUE
"Austria",6,10,1,3,0,-0.639,0.012,-0.397,-0.371,-0.464,-0.841,-0.446,-0.063,0.232,0.075,1,0.218,0.976,0.98,0.99,1,0.994,0.656,0.042,0.304,0,0.854,0.074,0.064,0.03,0,0.006,0.672,0.08,0.692,TRUE,TRUE
"Belgium",6,10,5,5,1,-0.729,0.054,-0.013,0.009,-0.029,-0.725,-0.63,-0.319,0.219,0.166,1,0.112,0.5,0.45,0.52,1,1,0.994,0.096,0.196,0,0.394,0.966,0.968,0.902,0,0,0.022,0.182,0.422,TRUE,TRUE
"Bulgaria",6,10,1,1,1,-0.032,-0.2,0.147,-0.032,-0.006,-0.621,0.358,0.558,-0.305,-0.253,0.608,0.87,0.336,0.544,0.499,0.906,0.076,0.012,0.784,0.726,0.966,0.202,0.7,0.952,0.992,0.194,0.176,0.02,0.438,0.494,TRUE,TRUE
"Croatia",6,10,1,1,1,-0.564,-0.035,-0.186,-0.074,-0.118,-0.828,-0.061,0.729,0.026,0.304,0.976,0.396,0.758,0.618,0.63,0.978,0.554,0.004,0.484,0.194,0.11,0.86,0.618,0.844,0.772,0.042,0.832,0.004,0.932,0.408,TRUE,TRUE
"Cyprus",6,10,1,2,1,-0.448,0.16,-0.268,-0.184,-0.252,-0.627,-0.154,0.418,0.388,-0.066,1,0,0.938,0.864,0.928,0.994,0.818,0.008,0.002,0.66,0.004,0,0.122,0.304,0.162,0.016,0.386,0.016,0.002,0.664,TRUE,TRUE
"Czechia",6,10,1,5,0,-0.582,-0.061,-0.481,-0.384,-0.39,-0.347,-0.501,-0.358,0.403,0.009,1,0.728,0.994,0.952,0.954,0.816,0.994,0.962,0.028,0.446,0.008,0.376,0.032,0.104,0.1,0.36,0.016,0.098,0.046,0.964,TRUE,TRUE
"Denmark",6,10,1,1,1,0.333,-0.278,0.889,0.889,0.841,-1,0.611,0.722,-0.889,0.333,0.444,0.728,0.018,0.042,0.019,1,0.082,0.044,0.98,0.228,0.68,0.476,0.052,0.066,0.058,0.018,0.156,0.08,0.076,0.598,TRUE,TRUE
"Estonia",6,10,1,1,0,-0.14,-0.04,-0.243,-0.32,-0.351,-0.232,0.041,0.172,0.351,0.017,0.77,0.458,0.844,0.89,0.91,0.658,0.42,0.196,0.034,0.398,0.692,0.694,0.472,0.29,0.232,0.598,0.866,0.438,0.082,0.928,TRUE,TRUE
"Finland",6,10,2,5,1,-0.085,0.053,0.241,0.32,0.323,-0.568,0.378,0.604,0.202,0.153,0.694,0.116,0.214,0.13,0.14,0.964,0.042,0,0.118,0.214,0.738,0.464,0.376,0.216,0.236,0.058,0.068,0,0.262,0.482,TRUE,TRUE
"France",6,10,2,5,0,0.021,0.075,-0.49,-0.443,-0.409,-0.221,0.183,0.304,0.32,0.039,0.478,0.008,0.998,0.998,0.994,0.856,0.076,0.006,0.002,0.366,0.902,0.03,0.004,0.01,0.02,0.294,0.166,0.014,0.002,0.77,TRUE,TRUE
"Germany",6,10,4,5,0,-0.772,-0.069,-0.684,-0.412,-0.412,-0.924,-0.565,0.008,0.245,-0.101,1,0.718,1,0.972,0.972,1,0.996,0.51,0.13,0.666,0,0.382,0.002,0.062,0.064,0,0.006,0.974,0.264,0.632,TRUE,TRUE
"Greece",6,10,3,1,0,-0.554,-0.172,-0.136,-0.122,-0.156,-0.78,-0.372,-0.024,0.196,-0.128,0.994,0.998,0.68,0.654,0.688,1,0.996,0.604,0.092,0.68,0.026,0.01,0.606,0.654,0.582,0,0.01,0.856,0.21,0.584,TRUE,TRUE
"Hungary",6,10,2,2,1,-0.6,0.03,-0.209,-0.241,-0.202,-0.587,-0.545,-0.407,0.186,-0.49,0.984,0.314,0.714,0.774,0.713,0.958,0.988,0.958,0.204,0.964,0.046,0.78,0.496,0.42,0.519,0.09,0.018,0.068,0.404,0.06,TRUE,TRUE
"Ireland",6,10,2,2,1,-0.261,0.017,-0.101,-0.132,-0.183,-0.211,-0.243,-0.101,0.256,-0.026,0.902,0.226,0.686,0.726,0.782,0.758,0.912,0.712,0.068,0.544,0.288,0.834,0.688,0.604,0.464,0.528,0.2,0.602,0.118,0.922,TRUE,TRUE
"Italy",6,10,5,4,0,-0.216,0.017,0.116,0.078,0.062,-0.282,-0.158,-0.041,0.525,-0.197,0.874,0.22,0.254,0.324,0.354,0.744,0.802,0.6,0,0.89,0.286,0.724,0.556,0.706,0.788,0.564,0.442,0.826,0,0.256,TRUE,TRUE
"Latvia",6,10,2,1,1,-0.133,-0.133,0.478,0.379,0.404,-0.744,0.148,0.473,0.03,0.02,0.69,0.808,0.046,0.076,0.066,0.998,0.204,0.002,0.438,0.468,0.712,0.26,0.11,0.246,0.226,0.002,0.394,0.004,0.906,0.966,TRUE,TRUE
"Lithuania",6,10,1,1,1,-0.667,0.048,-0.362,-0.248,-0.246,-0.775,-0.01,0.619,0.381,0.305,0.992,0.23,0.86,0.732,0.741,0.974,0.542,0.008,0.14,0.162,0.038,0.796,0.35,0.562,0.56,0.068,0.994,0.016,0.278,0.398,TRUE,TRUE
"Luxembourg",6,10,5,5,1,-0.747,0.079,-0.415,-0.213,-0.217,-0.827,-0.612,0.065,0.274,0.183,1,0.02,0.984,0.844,0.838,1,1,0.324,0.018,0.124,0,0.132,0.042,0.344,0.354,0,0,0.666,0.03,0.276,TRUE,TRUE
"Malta",6,10,2,1,1,-0.676,-0.246,-0.317,-0.341,-0.322,-0.683,-0.396,0.127,-0.285,-0.235,0.992,0.95,0.808,0.818,0.802,0.994,0.982,0.28,0.82,0.742,0.034,0.066,0.366,0.314,0.338,0.01,0.036,0.508,0.308,0.462,TRUE,TRUE
"Netherlands",6,10,1,1,1,-0.486,-0.107,-0.51,-0.605,-0.605,-0.976,-0.368,-0.115,-0.581,0.557,0.948,0.574,0.962,0.982,0.98,1,0.92,0.664,0.954,0.018,0.182,0.56,0.146,0.052,0.058,0.002,0.166,0.714,0.088,0.058,TRUE,TRUE
"Poland",6,10,1,1,1,-0.485,0.057,-0.563,-0.292,-0.292,-0.425,-0.398,-0.297,0.278,0.494,0.974,0.162,0.984,0.858,0.842,0.838,0.948,0.892,0.186,0.014,0.126,0.67,0.054,0.342,0.346,0.364,0.108,0.236,0.33,0.052,TRUE,TRUE
"Portugal",6,10,2,2,1,-0.492,-0.015,-0.092,0.462,0.47,-0.704,-0.287,-0.187,-0.042,-0.133,0.984,0.39,0.63,0.062,0.054,0.99,0.884,0.788,0.572,0.684,0.07,0.906,0.768,0.122,0.112,0.032,0.208,0.404,0.878,0.586,TRUE,TRUE
"Romania",6,10,2,2,0,-0.123,0,0.036,0.065,0.069,-0.848,0.029,0.159,0.406,0.188,0.706,0.372,0.486,0.434,0.422,0.994,0.444,0.26,0.08,0.246,0.764,1,0.932,0.892,0.88,0.008,0.916,0.554,0.164,0.558,TRUE,TRUE
"Slovakia",6,10,1,2,1,-0.8,0.295,-0.463,-0.471,-0.53,-0.824,-0.633,0.225,0.224,-0.107,1,0,0.978,0.97,0.982,1,1,0.114,0.128,0.652,0,0,0.068,0.064,0.038,0.002,0,0.268,0.246,0.65,TRUE,TRUE
"Slovenia",6,10,1,4,0,-0.268,0.158,-0.576,-0.486,-0.475,-0.274,-0.085,0.176,0.451,0.131,0.9,0.008,0.996,0.974,0.972,0.76,0.674,0.17,0.014,0.234,0.318,0.028,0.01,0.066,0.07,0.458,0.664,0.346,0.024,0.568,TRUE,TRUE
"Sweden",6,10,1,4,0,-0.565,-0.087,-0.652,-0.326,-0.326,-0.911,-0.399,-0.087,-0.188,0.116,0.966,0.566,0.986,0.842,0.84,0.998,0.96,0.638,0.722,0.31,0.162,0.6,0.086,0.442,0.442,0.002,0.086,0.724,0.522,0.73,TRUE,TRUE
"United Kingdom",6,10,5,2,1,0.144,0.175,-0.149,-0.232,-0.232,-0.131,0.192,0.172,0.679,-0.579,0.378,0.002,0.656,0.728,0.726,0.572,0.214,0.248,0.006,0.996,0.676,0.016,0.668,0.452,0.444,0.806,0.41,0.464,0.008,0.01,TRUE,TRUE
"Austria",7,10,1,3,0,-0.664,0.006,-0.403,-0.391,-0.458,-0.838,-0.479,-0.085,0.298,0.032,0.998,0.282,0.964,0.956,0.982,1,0.996,0.718,0.006,0.424,0.004,0.94,0.096,0.106,0.054,0,0.006,0.584,0.02,0.888,TRUE,TRUE
"Belgium",7,10,5,5,1,-0.826,0.051,0.055,0.057,0.005,-0.714,-0.692,-0.447,0.37,0.21,1,0.124,0.436,0.424,0.504,0.998,1,0.996,0.026,0.142,0,0.438,0.854,0.838,0.986,0.002,0,0.006,0.046,0.358,TRUE,TRUE
"Bulgaria",7,10,1,1,1,-0.018,0.041,0.135,0.064,0.058,-0.696,0.462,0.614,-0.205,-0.368,0.59,0.232,0.386,0.422,0.409,0.944,0.034,0.004,0.7,0.824,0.982,0.81,0.816,0.914,0.896,0.13,0.076,0.008,0.642,0.35,TRUE,TRUE
"Croatia",7,10,1,1,1,-0.628,-0.238,-0.238,-0.105,-0.095,-0.83,-0.086,0.659,0.01,0.32,0.982,0.88,0.758,0.616,0.608,0.986,0.598,0.012,0.438,0.162,0.096,0.16,0.592,0.83,0.839,0.02,0.74,0.02,0.992,0.39,TRUE,TRUE
"Cyprus",7,10,1,2,1,-0.471,0.109,-0.303,-0.2,-0.307,-0.619,-0.152,0.399,0.377,-0.071,1,0,0.936,0.848,0.946,0.996,0.814,0.01,0.004,0.638,0.006,0.008,0.132,0.346,0.13,0.022,0.392,0.024,0.006,0.66,TRUE,TRUE
"Czechia",7,10,1,5,0,-0.594,0.023,-0.479,-0.373,-0.378,-0.321,-0.534,-0.392,0.409,0.012,0.998,0.234,0.978,0.942,0.934,0.774,0.994,0.968,0.03,0.474,0.012,0.788,0.08,0.16,0.174,0.418,0.01,0.068,0.052,0.966,TRUE,TRUE
"Denmark",7,10,1,1,1,0.214,-0.357,0.929,1,0.982,-1,0.714,0.714,-0.929,0.357,0.552,0.808,0.034,0.008,0.003,1,0.05,0.046,0.992,0.256,0.844,0.326,0.088,0.026,0.008,0.026,0.088,0.078,0.09,0.62,TRUE,TRUE
"Estonia",7,10,1,1,0,-0.12,0.042,-0.249,-0.309,-0.319,-0.187,0.024,0.177,0.375,0.039,0.676,0.186,0.796,0.83,0.832,0.636,0.424,0.216,0.056,0.42,0.746,0.708,0.496,0.344,0.334,0.688,0.94,0.456,0.12,0.916,TRUE,TRUE
"Finland",7,10,2,5,1,-0.083,0.101,0.233,0.309,0.319,-0.562,0.438,0.599,0.204,0.092,0.702,0.04,0.214,0.154,0.148,0.958,0.014,0.002,0.168,0.366,0.748,0.204,0.41,0.27,0.271,0.072,0.034,0.002,0.288,0.672,TRUE,TRUE
"France",7,10,2,5,0,0.024,0.187,-0.577,-0.477,-0.473,-0.205,0.181,0.262,0.355,0.013,0.5,0,1,0.998,0.994,0.816,0.072,0.012,0,0.446,0.898,0,0,0.002,0.006,0.328,0.158,0.028,0,0.94,TRUE,TRUE
"Germany",7,10,4,5,0,-0.828,0.001,-0.749,-0.496,-0.496,-0.921,-0.668,-0.003,0.324,-0.165,1,0.322,1,0.986,0.984,1,1,0.468,0.09,0.754,0,1,0,0.032,0.036,0,0,0.994,0.158,0.518,TRUE,TRUE
"Greece",7,10,3,1,0,-0.578,-0.002,-0.117,-0.188,-0.2,-0.77,-0.41,-0.069,0.137,-0.082,0.994,0.32,0.692,0.754,0.774,1,1,0.712,0.216,0.596,0.026,0.974,0.702,0.542,0.5,0,0,0.59,0.406,0.766,TRUE,TRUE
"Hungary",7,10,2,2,1,-0.68,0.177,-0.108,-0.212,-0.127,-0.564,-0.655,-0.389,0.163,-0.443,0.988,0.04,0.588,0.732,0.637,0.964,0.998,0.976,0.29,0.934,0.024,0.132,0.782,0.536,0.694,0.088,0.002,0.058,0.564,0.122,TRUE,TRUE
"Ireland",7,10,2,2,1,-0.266,-0.005,-0.141,-0.119,-0.22,-0.183,-0.333,-0.164,0.274,-0.071,0.878,0.34,0.706,0.706,0.794,0.71,0.97,0.832,0.068,0.652,0.336,0.936,0.6,0.64,0.452,0.56,0.054,0.334,0.124,0.724,TRUE,TRUE
"Italy",7,10,5,4,0,-0.231,0.057,0.148,0.109,0.086,-0.264,-0.167,-0.057,0.538,-0.172,0.898,0.068,0.246,0.296,0.324,0.644,0.76,0.608,0,0.812,0.264,0.212,0.514,0.636,0.708,0.638,0.454,0.792,0,0.376,TRUE,TRUE
"Latvia",7,10,2,1,1,-0.154,-0.082,0.513,0.45,0.493,-0.742,0.153,0.503,-0.005,0.053,0.702,0.67,0.062,0.064,0.048,1,0.17,0,0.524,0.418,0.68,0.494,0.15,0.198,0.152,0,0.356,0.002,0.964,0.884,TRUE,TRUE
"Lithuania",7,10,1,1,1,-0.628,0.011,-0.411,-0.284,-0.319,-0.751,-0.116,0.568,0.396,0.311,0.978,0.332,0.84,0.74,0.754,0.97,0.66,0.02,0.142,0.2,0.1,0.98,0.352,0.552,0.497,0.062,0.706,0.034,0.28,0.424,TRUE,TRUE
"Luxembourg",7,10,5,5,1,-0.783,0.307,-0.488,-0.268,-0.276,-0.822,-0.65,0.003,0.294,0.192,1,0,0.992,0.868,0.87,1,1,0.508,0.024,0.134,0,0,0.02,0.3,0.294,0,0,0.994,0.038,0.31,TRUE,TRUE
"Malta",7,10,2,1,1,-0.758,-0.405,-0.317,-0.39,-0.405,-0.771,-0.489,0.186,-0.338,-0.275,0.998,1,0.736,0.786,0.788,1,0.994,0.174,0.862,0.738,0.01,0,0.446,0.322,0.318,0,0.016,0.382,0.276,0.452,TRUE,TRUE
"Netherlands",7,10,1,1,1,-0.541,-0.056,-0.567,-0.593,-0.593,-0.974,-0.446,-0.247,-0.61,0.628,0.948,0.436,0.962,0.942,0.942,1,0.964,0.802,0.944,0.014,0.21,0.81,0.168,0.116,0.122,0.002,0.076,0.408,0.118,0.056,TRUE,TRUE
"Poland",7,10,1,1,1,-0.502,0.039,-0.522,-0.3,-0.3,-0.384,-0.389,-0.305,0.404,0.586,0.962,0.208,0.966,0.84,0.828,0.822,0.944,0.894,0.112,0.012,0.126,0.766,0.11,0.392,0.406,0.424,0.1,0.2,0.172,0.034,TRUE,TRUE
"Portugal",7,10,2,2,1,-0.537,-0.127,-0.098,0.519,0.52,-0.697,-0.333,-0.23,-0.045,-0.098,0.976,0.798,0.658,0.046,0.052,0.982,0.92,0.852,0.57,0.602,0.088,0.256,0.766,0.094,0.096,0.036,0.144,0.3,0.862,0.71,TRUE,TRUE
"Romania",7,10,2,2,0,-0.225,-0.059,-0.004,0.217,0.217,-0.834,0.004,0.146,0.431,0.36,0.788,0.476,0.556,0.332,0.328,0.996,0.512,0.308,0.108,0.096,0.65,0.768,1,0.636,0.636,0.008,1,0.616,0.21,0.266,TRUE,TRUE
"Slovakia",7,10,1,2,1,-0.821,0.172,-0.484,-0.461,-0.512,-0.816,-0.66,0.211,0.15,-0.184,1,0.012,0.964,0.956,0.974,1,1,0.122,0.234,0.718,0,0.046,0.086,0.096,0.048,0.004,0,0.278,0.478,0.492,TRUE,TRUE
"Slovenia",7,10,1,4,0,-0.265,0.252,-0.615,-0.489,-0.478,-0.238,-0.043,0.127,0.483,0.13,0.834,0,0.986,0.962,0.952,0.732,0.584,0.282,0.008,0.312,0.416,0.002,0.026,0.08,0.09,0.534,0.864,0.562,0.022,0.624,TRUE,TRUE
"Sweden",7,10,1,4,0,-0.605,-0.138,-0.66,-0.439,-0.439,-0.903,-0.439,-0.123,-0.162,0.217,0.966,0.686,0.962,0.826,0.822,0.994,0.968,0.69,0.69,0.216,0.162,0.432,0.124,0.364,0.372,0.01,0.068,0.616,0.632,0.6,TRUE,TRUE
"United Kingdom",7,10,5,2,1,0.153,0.015,-0.057,-0.252,-0.252,-0.083,0.177,0.177,0.736,-0.598,0.338,0.344,0.47,0.716,0.698,0.578,0.246,0.226,0,0.994,0.704,0.896,0.886,0.44,0.45,0.892,0.454,0.422,0.002,0.014,TRUE,TRUE
"Austria",8,10,1,3,0,-0.692,-0.004,-0.394,-0.391,-0.512,-0.833,-0.548,-0.137,0.353,0.024,1,0.334,0.942,0.962,0.99,1,0.998,0.814,0.006,0.384,0.002,0.938,0.116,0.108,0.03,0,0.002,0.362,0.022,0.894,TRUE,TRUE
"Belgium",8,10,5,5,1,-0.796,0.16,-0.072,-0.015,-0.016,-0.704,-0.615,-0.348,0.323,0.159,1,0.004,0.556,0.462,0.465,1,1,0.99,0.062,0.234,0,0.012,0.808,0.966,0.952,0,0.002,0.022,0.106,0.514,TRUE,TRUE
"Bulgaria",8,10,1,1,1,0.013,-0.137,0.268,0.242,0.253,-0.778,0.556,0.686,-0.249,-0.511,0.574,0.688,0.314,0.314,0.305,0.97,0.014,0.002,0.69,0.886,0.98,0.518,0.656,0.648,0.646,0.062,0.052,0.01,0.612,0.194,TRUE,TRUE
"Croatia",8,10,1,1,1,-0.646,-0.179,-0.2,0,-0.011,-0.811,-0.053,0.58,-0.032,0.401,0.982,0.748,0.672,0.516,0.517,0.972,0.58,0.022,0.534,0.118,0.108,0.336,0.706,1,0.982,0.06,0.84,0.036,0.932,0.298,TRUE,TRUE
"Cyprus",8,10,1,2,1,-0.489,0.248,-0.286,-0.193,-0.287,-0.61,-0.154,0.389,0.375,-0.086,0.996,0,0.916,0.834,0.924,0.992,0.812,0.022,0.002,0.652,0.006,0,0.156,0.364,0.168,0.018,0.372,0.04,0.006,0.646,TRUE,TRUE
"Czechia",8,10,1,5,0,-0.64,-0.026,-0.478,-0.395,-0.395,-0.295,-0.588,-0.457,0.433,0.036,0.996,0.472,0.978,0.938,0.932,0.75,0.996,0.982,0.028,0.41,0.006,0.774,0.07,0.15,0.164,0.474,0.006,0.032,0.052,0.87,TRUE,TRUE
"Denmark",8,10,1,1,1,-0.143,-0.429,1,1,1,-1,1,1,-1,0.714,0.728,0.894,0.022,0.026,0.006,1,0.002,0.002,1,0.068,0.936,0.234,0.04,0.036,0.009,0.038,0.01,0.01,0.044,0.292,TRUE,TRUE
"Estonia",8,10,1,1,0,-0.1,0.1,-0.225,-0.292,-0.301,-0.139,-0.01,0.149,0.392,0.043,0.68,0.068,0.796,0.82,0.828,0.634,0.46,0.252,0.056,0.374,0.788,0.398,0.558,0.39,0.376,0.746,0.978,0.524,0.13,0.866,TRUE,TRUE
"Finland",8,10,2,5,1,-0.106,0.076,0.191,0.288,0.28,-0.556,0.426,0.599,0.25,0.099,0.698,0.11,0.262,0.176,0.182,0.984,0.016,0.002,0.114,0.328,0.704,0.384,0.524,0.348,0.365,0.046,0.034,0.004,0.224,0.716,TRUE,TRUE
"France",8,10,2,5,0,-0.007,0.133,-0.603,-0.472,-0.489,-0.19,0.13,0.18,0.315,-0.03,0.544,0,1,0.996,0.998,0.808,0.152,0.066,0.004,0.532,0.98,0,0,0.012,0.008,0.352,0.298,0.136,0.01,0.854,TRUE,TRUE
"Germany",8,10,4,5,0,-0.83,-0.065,-0.747,-0.515,-0.515,-0.917,-0.618,-0.006,0.356,-0.18,1,0.664,1,0.976,0.976,1,1,0.55,0.076,0.73,0,0.46,0.002,0.066,0.07,0,0,0.976,0.142,0.488,TRUE,TRUE
"Greece",8,10,3,1,0,-0.597,0.003,-0.092,-0.195,-0.241,-0.76,-0.419,-0.103,0.086,-0.084,0.996,0.338,0.648,0.726,0.778,1,1,0.762,0.336,0.624,0.03,0.988,0.8,0.58,0.489,0,0.002,0.458,0.656,0.76,TRUE,TRUE
"Hungary",8,10,2,2,1,-0.762,0.254,-0.026,-0.228,-0.086,-0.547,-0.656,-0.413,0.111,-0.45,1,0.016,0.474,0.71,0.563,0.944,1,0.99,0.376,0.936,0.008,0.052,0.928,0.496,0.811,0.15,0,0.042,0.726,0.154,TRUE,TRUE
"Ireland",8,10,2,2,1,-0.282,-0.012,-0.168,-0.152,-0.201,-0.152,-0.402,-0.262,0.31,-0.113,0.886,0.426,0.722,0.732,0.758,0.702,0.982,0.92,0.046,0.688,0.318,0.882,0.554,0.578,0.491,0.602,0.038,0.16,0.078,0.644,TRUE,TRUE
